# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25FB64ELW	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESH	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESQ	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESS	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64EST	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESW	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELE	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELF	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELT	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESE	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
